No,Stock Code,Company Name,Remarks,Previous,Open Price,Last Trading Date,First Trade,High,Low,Close,Change,Volume,Value,Frequency,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
1,AALI,Astra Agro Lestari Tbk.,--M-1M3EM2000012--------------,12100,0,04 Dec 2020,0,11950,11550,11675,-425,4826900,56411280000,3458,948.4,11700,2000,11675,407700,1924688333,1924688333,1924688333,146300,263300,1101,12868925,2
2,ABBA,Mahaka Media Tbk.,--U-210000000095---E----------,59,0,04 Dec 2020,0,76,57,66,7,120747600,8373448000,5371,115.8,66,7694300,65,1656000,2755125000,2755125000,2755125000,0,0,1500,103500,1
3,ABDA,Asuransi Bina Dana Arta Tbk.,--U-210500000084--------------,5825,0,04 Dec 2020,0,0,0,5825,0,0,0,0,1329.9,5825,500,5575,200,620806680,620806680,620806680,0,0,0,0,0
4,ABMM,ABM Investama Tbk.,--U-110500000098--------------,1045,0,04 Dec 2020,0,1160,1000,1045,0,361800,394134500,262,27.9,1045,168800,1040,100,2753165000,2753165000,2753165000,0,0,0,0,0
5,ACES,Ace Hardware Indonesia Tbk.,--MO1UKPMA000093--------------,1650,1650,04 Dec 2020,1650,1650,1620,1625,-25,9583600,15584877500,3093,1981.7,1625,260800,1620,571300,17150000000,17150000000,17150000000,8022000,2256500,2765949,4549638950,5
6,ACST,Acset Indonusa Tbk.,--U-110000000062--------------,296,0,04 Dec 2020,0,300,290,294,-2,60600800,17849820000,2996,21.7,296,876600,294,5654700,6425160000,6425160000,6425160000,3267800,1405800,0,0,0
7,ADES,Akasha Wira International Tbk.,--U-213000000051--------------,1325,0,04 Dec 2020,0,1335,1320,1335,10,75600,100478500,69,69.4,1335,1700,1330,400,589896800,589896800,589896800,0,0,0,0,0
8,ADHI,Adhi Karya (Persero) Tbk.,--M-183F80000062--------------,1280,0,04 Dec 2020,0,1350,1250,1275,-5,51850500,66977338000,8007,1001.3,1275,340000,1270,1502700,3560849376,3560849376,3560849376,5202500,4172000,500000,640000000,1
9,ADMF,Adira Dinamika Multi Finance Tbk.,--U-110F00000082--------------,8775,0,04 Dec 2020,0,8850,8725,8800,25,195200,1719975000,307,378.5,8800,5000,8775,500,1000000000,1000000000,1000000000,81100,100,0,0,0
10,ADMG,Polychem Indonesia Tbk,--U-113000000034--------------,158,0,04 Dec 2020,0,160,155,158,0,1127000,177952500,217,14.1,158,54400,157,9900,3889179559,3889179559,3889179559,55000,302900,0,0,0
11,ADRO,Adaro Energy Tbk.,--MO1XDCU1000021--------------,1375,1405,04 Dec 2020,1410,1460,1360,1435,60,403854300,572667468500,31493,130.5,1435,1993300,1430,2546500,31985962000,31985962000,31985962000,93135300,43604200,750114,996158990,4
12,AGAR,Asia Sejahtera Mina Tbk.,--U-213000000091--------------,494,0,04 Dec 2020,0,474,470,470,-24,1100,517400,4,427.3,470,7000,0,0,1000000000,1000000000,1000000000,0,0,0,0,0
13,AGII,Aneka Gas Industri Tbk.,--M-113500000034--------------,880,0,04 Dec 2020,0,895,870,870,-10,546300,481319000,204,79.1,875,1600,870,26800,3066660000,3066660000,3066660000,63900,0,0,0,0
14,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,--M-110500000081--------------,660,0,04 Dec 2020,0,670,635,660,0,228287200,149278147500,12735,1078.3,665,1973900,660,749600,21129857328,21129857328,21129857328,26075300,10836400,0,0,0
15,AGRS,Bank IBK Indonesia Tbk.,--U-210500000081--------------,163,0,04 Dec 2020,0,164,160,160,-3,110400,17714900,34,145.5,164,158600,160,77600,11154923542,11154923542,11728776913,0,0,0,0,0
16,AHAP,Asuransi Harta Aman Pratama Tbk.,--U-210000000084--------------,60,0,04 Dec 2020,0,60,56,58,-2,590000,33390900,58,218.7,58,77200,57,6100,2940000000,2940000000,2940000000,0,0,0,0,0
17,AIMS,Akbar Indo Makmur Stimec Tbk,--U-213000000091--------------,155,0,04 Dec 2020,0,155,145,152,-3,4000,600100,8,121.6,152,500,145,3500,220000000,220000000,220000000,0,0,0,0,0
18,AISA,Tiga Pilar Sejahtera Food Tbk.,--U-110000000051---E----------,344,0,04 Dec 2020,0,350,330,338,-6,53840800,18270965000,3680,41.1,340,2592600,338,9800,9311800000,9311800000,9311800000,4069800,4801300,0,0,0
19,AKKU,Anugerah Kagum Karya Utama Tbk.,--U-213000000094--------------,50,0,04 Dec 2020,0,50,50,50,0,32100,1605000,52,75.9,50,3186100,0,0,6449463636,6449463636,6449463636,0,0,0,0,0
20,AKPI,Argha Karya Prima Industry Tbk.,--U-213000000035--------------,370,0,04 Dec 2020,0,386,370,380,10,88100,33771800,30,50.1,382,100,380,2100,680000000,680000000,680000000,39600,0,0,0,0
21,AKRA,AKR Corporindo Tbk.,--MO1X3XM0000091--------------,3090,3090,04 Dec 2020,3090,3120,3020,3110,20,35202100,107964928000,5932,2478.7,3120,987900,3110,206900,4014694920,4014694920,4014694920,3257400,7667500,296400,920784000,5
22,AKSI,Maming Enam Sembilan Mineral Tbk.,--U-213000000074--------------,368,0,04 Dec 2020,0,370,368,368,0,1500,552600,5,184.0,382,100,368,2400,720000000,720000000,720000000,0,0,0,0,0
23,ALDO,Alkindo Naratama Tbk.,--U-213000000038--------------,400,0,04 Dec 2020,0,420,390,406,6,61400,24026000,20,297.6,406,6800,402,100,1100000000,1100000000,1100000000,0,0,0,0,0
24,ALKA,Alakasa Industrindo Tbk,--U-213000000033--------------,286,0,04 Dec 2020,0,286,286,286,0,2700,772200,7,48.1,286,16900,280,100,507665055,507665055,507665055,0,0,0,0,0
25,ALMI,Alumindo Light Metal Industry Tbk.,--U-210000000033---E----------,230,0,04 Dec 2020,0,238,218,218,-12,3900,885600,11,33.5,254,1700,220,6400,616000000,616000000,616000000,0,0,0,0,0
26,ALTO,Tri Banyan Tirta Tbk.,--U-110000000051--------------,286,0,04 Dec 2020,0,298,286,294,8,14200,4114600,16,146.9,298,14100,284,100,2191870558,2191870558,2191870558,0,0,0,0,0
