No,Stock Code,Company Name,Remarks,Previous,Open Price,Last Trading Date,First Trade,High,Low,Close,Change,Volume,Value,Frequency,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
1,AALI,Astra Agro Lestari Tbk.,--M-1M3EM00000D232------------,8525,0,08 Sep 2021,0,8600,8450,8500,-25,836100,7098732500,858,690.5,8500,40400,8475,1400,1924688333,1924688333,1924688333,171500,117900,100,852500,1
2,ABBA,Mahaka Media Tbk.,--U-2105000000E614-E-L--------,620,0,08 Sep 2021,0,625,580,580,-40,33431400,19642512000,4304,1017.5,580,2896000,0,0,2755125000,2755125000,2755125000,2419500,2430700,0,0,0
3,ABDA,Asuransi Bina Dana Arta Tbk.,--U-2105000000G412------------,6950,0,08 Sep 2021,0,0,0,6950,0,0,0,0,1586.7,0,0,0,0,620806680,620806680,620806680,0,0,0,0,0
4,ABMM,ABM Investama Tbk.,--U-1105000000C311------------,1335,0,08 Sep 2021,0,1330,1310,1320,-15,29800,39266500,57,35.2,1320,1700,1315,6500,2753165000,2753165000,2753165000,1800,0,0,0,0
5,ACES,Ace Hardware Indonesia Tbk.,--MO1S3PMN0000E743------------,1400,1410,08 Sep 2021,1410,1410,1390,1410,10,8264800,11593712000,2772,1719.5,1410,532200,1400,338300,17150000000,17150000000,17150000000,5039300,5267100,100000,142000000,2
6,ACST,Acset Indonusa Tbk.,--U-1135000000J211------------,256,0,08 Sep 2021,0,258,250,252,-4,22598800,5722838400,2315,18.6,254,370800,252,49600,12675160000,12675160000,12675160000,1301400,902700,0,0,0
7,ADES,Akasha Wira International Tbk.,--U-2135000000D212------------,3040,0,08 Sep 2021,0,3040,2950,2950,-90,119600,355768000,185,153.2,2950,31700,2940,600,589896800,589896800,589896800,14800,40000,0,0,0
8,ADHI,Adhi Karya (Persero) Tbk.,--M-1835V50000J211------------,825,0,08 Sep 2021,0,850,815,825,0,40563200,33741288000,5472,647.9,830,225300,825,415900,3560849376,3560849376,3560849376,3047500,2176400,0,0,0
9,ADMF,Adira Dinamika Multi Finance Tbk.,--U-110F000000G211------------,7725,0,08 Sep 2021,0,7750,7650,7650,-75,56800,435670000,151,329.0,7725,4300,7650,5500,1000000000,1000000000,1000000000,400,200,0,0,0
10,ADMG,Polychem Indonesia Tbk,--U-1130000000B111------------,216,0,08 Sep 2021,0,218,210,210,-6,2805800,596722600,490,18.7,210,576000,208,348200,3889179559,3889179559,3889179559,126200,70600,0,0,0
