Stock Code,Remarks,Prev,Open,Date,High,Low,Close,Change,Volume,Value,Freq,year,month
AALI,--M-1M3EM20000D232------------,11175,0,26 Jan 2021,11425,10825,10900,-275,3119700,34616542500,3091,2021,01
ABBA,--U-2100000000E614-E----------,69,0,26 Jan 2021,69,65,65,-4,19734500,1288221700,919,2021,01
ABDA,--U-2105000000G412------------,5900,0,26 Jan 2021,5900,5900,5900,0,11000,64900000,2,2021,01
ABMM,--U-1105000000C311------------,740,0,26 Jan 2021,740,715,720,-20,333600,240183500,117,2021,01
ACES,--MO1UKPMN0000E743------------,1630,1630,26 Jan 2021,1635,1580,1620,-10,43544900,69911445000,7992,2021,01
ACST,--U-1100000000J211------------,428,0,26 Jan 2021,436,400,400,-28,110475300,45393646000,7220,2021,01
ADES,--U-2130000000D212------------,1805,0,26 Jan 2021,1815,1680,1785,-20,733300,1283888000,314,2021,01
ADHI,--M-1835800000J211------------,1575,0,26 Jan 2021,1610,1465,1465,-110,65129700,99590011000,10913,2021,01
ADMF,--U-110F000000G211------------,8875,0,26 Jan 2021,8950,8600,8725,-150,281900,2466737500,571,2021,01
ADMG,--U-1130000000B111------------,187,0,26 Jan 2021,190,175,176,-11,4509200,816625300,584,2021,01
ADRO,--MO1XDCU10000A121------------,1295,1290,26 Jan 2021,1335,1230,1260,-35,138670800,177341854500,19892,2021,01
AGAR,--U-2130000000D231------------,400,0,26 Jan 2021,400,390,390,-10,1700,675000,4,2021,01
AGII,--M-1135000000B111------------,1730,0,26 Jan 2021,1700,1610,1610,-120,4243700,6841033500,1321,2021,01
AGRO,--M-1105000000G111------------,1075,0,26 Jan 2021,1080,1000,1000,-75,294877400,301496283000,26103,2021,01
AGRS,--U-2105000000G111------------,204,0,26 Jan 2021,212,200,212,8,211300,42916400,57,2021,01
AHAP,--U-2100000000G412------------,57,0,26 Jan 2021,57,56,56,-1,114700,6436700,54,2021,01
AIMS,--U-2130000000A121------------,141,0,26 Jan 2021,180,134,142,1,27000,4256300,21,2021,01
AISA,--U-1100000000D222-E----------,302,0,26 Jan 2021,320,282,282,-20,84816600,25160329000,5602,2021,01
AKKU,--U-2130000000E512------------,50,0,26 Jan 2021,50,50,50,0,2400,120000,8,2021,01
AKPI,--U-2130000000B113------------,498,0,26 Jan 2021,498,494,494,-4,1900,943600,9,2021,01
AKRA,--MO1X3XM40000A112------------,3050,3050,26 Jan 2021,3060,2860,2940,-110,35954000,107077087000,7840,2021,01
AKSI,--U-2130000000K211------------,610,0,26 Jan 2021,610,600,610,0,35600,21540000,17,2021,01
ALDO,--U-2130000000B131------------,430,0,26 Jan 2021,434,422,432,2,116700,50114000,36,2021,01
ALKA,--U-2130000000B141------------,260,0,26 Jan 2021,260,246,246,-14,1800,445800,7,2021,01
ALMI,--U-2100000000B141-E----------,260,0,26 Jan 2021,268,244,260,0,29300,7488400,38,2021,01
ALTO,--U-1100000000D212------------,316,0,26 Jan 2021,308,308,308,-8,500,154000,3,2021,01
AMAG,--U-2105000000G412------------,222,0,26 Jan 2021,234,214,226,4,379600,86181600,74,2021,01
AMAN,--U-1130000000H111------------,324,0,26 Jan 2021,326,324,324,0,136700,44291000,20,2021,01
AMAR,--U-2105000000G111------------,250,0,26 Jan 2021,260,246,250,0,381700,96642400,67,2021,01
AMFG,--U-1105000000C121------------,2900,0,26 Jan 2021,2900,2820,2900,0,5300,15158000,8,2021,01
