Stock Code,Remarks,Prev,Open,Date,High,Low,Close,Change,Volume,Value,Freq
AALI,--M-1M3PM00000D232------------,10950,0,05 Nov 2021,11100,10825,10875,-75,2387400,26050392500,2321
ABBA,--U-2105000000E614-E-L--------,456,0,05 Nov 2021,468,442,458,2,8054900,3645107800,1081
ABDA,--U-2105000000G412------------,6800,0,05 Nov 2021,0,0,6800,0,0,0,0
ABMM,--U-1105000000C311------------,1420,0,05 Nov 2021,1430,1385,1385,-35,5279500,7400525500,1014
ACES,--MO1S3EMN0000E743------------,1445,1445,05 Nov 2021,1490,1425,1490,45,17665300,25831352500,4502
ACST,--U-1135000000J211------------,266,0,05 Nov 2021,270,264,264,-2,7221400,1921531600,614
ADES,--U-2135000000D212------------,2610,0,05 Nov 2021,2830,2620,2750,140,337700,920184000,391
ADHI,--M-1835V50000J211------------,1110,0,05 Nov 2021,1115,1080,1085,-25,15086300,16446100500,3133
ADMF,--U-110F000000G211------------,7850,0,05 Nov 2021,7850,7725,7825,-25,65900,514105000,103
ADMG,--U-1130000000B111------------,232,0,05 Nov 2021,234,226,230,-2,453800,103581600,149
ADRO,--MO1XD5U60000A121------------,1675,1650,05 Nov 2021,1665,1635,1645,-30,57505000,94778302000,7078
AGAR,--U-2130000000D231------------,344,0,05 Nov 2021,360,344,350,6,15600,5514800,29
AGII,--M-1835400000B111------------,1465,0,05 Nov 2021,1490,1445,1465,0,4056500,5956309500,1553
AGRO,--U-1100000000G111------------,2090,0,05 Nov 2021,2110,2050,2060,-30,18052300,37313290000,4894
AGRS,--U-2105000000G111------------,199,0,05 Nov 2021,204,197,197,-2,71843100,14376625700,2853
AHAP,--U-2100000000G412------------,71,0,05 Nov 2021,76,68,69,-2,45163400,3267883400,3416
AIMS,--U-2130000000A121------------,466,0,05 Nov 2021,480,448,450,-16,124800,56843800,54
AISA,--U-1105000000D222------------,218,0,05 Nov 2021,224,216,222,4,7932600,1757417200,638
AKKU,--U-2130000000E512------------,50,0,05 Nov 2021,50,50,50,0,3500,175000,17
AKPI,--U-2130000000B113------------,735,0,05 Nov 2021,735,695,725,-10,57200,40709000,51
AKRA,--MO1H7XM80000A112------------,4200,4230,05 Nov 2021,4280,4150,4150,-50,10603400,44609540000,2086
AKSI,--U-2130000000K211------------,496,0,05 Nov 2021,494,470,470,-26,58900,28026200,76
ALDO,--U-2130000000B131------------,775,0,05 Nov 2021,795,755,755,-20,4094400,3168845500,717
ALKA,--U-2130000000B141--------G---,248,0,05 Nov 2021,258,248,254,6,13800,3477000,29
ALMI,--U-2100000000B141-E----------,242,0,05 Nov 2021,250,234,236,-6,42700,10297400,23
ALTO,--U-1100000000D212------------,298,0,05 Nov 2021,306,290,306,8,246600,71858600,40
AMAG,--M-2105000000G412------------,336,0,05 Nov 2021,340,332,338,2,103200,34630600,50
AMAN,--M-1135000000H111------------,492,0,05 Nov 2021,494,492,492,0,1431700,704478200,99
AMAR,--U-2105000000G111------------,284,0,05 Nov 2021,296,284,294,10,4731400,1379480600,662
AMFG,--U-1105000000C121------------,4400,0,05 Nov 2021,4770,4500,4740,340,251700,1176484000,189
AMIN,--U-2130000000C143------------,198,0,05 Nov 2021,212,194,195,-3,535800,105688400,280
AMOR,--M-2105000000G311------------,3800,0,05 Nov 2021,3830,3800,3820,20,492000,1873998000,1395
AMRT,--M-1M00500000D113------------,1200,0,05 Nov 2021,1210,1190,1195,-5,3324000,3974331500,1236
ANDI,--U-2130000000D232------------,50,0,05 Nov 2021,50,50,50,0,66300,3315000,32
ANJT,--U-1135000000D232------------,995,0,05 Nov 2021,1240,995,1120,125,387700,419524500,302
ANTM,--MO1XDARC0000B146------------,2380,2390,05 Nov 2021,2400,2340,2360,-20,40241200,95343056000,8466
APEX,--U-2105000000A131------------,550,0,05 Nov 2021,560,540,550,0,18200,10022000,26
APIC,--M-2105000000G511------------,980,0,05 Nov 2021,1010,975,995,15,9919600,9837356000,1099
APII,--U-2130000000C143------------,182,0,05 Nov 2021,185,181,181,-1,278500,51393100,37
APLI,--U-1130000000B113------------,206,0,05 Nov 2021,200,200,200,-6,102800,20560000,9
APLN,--M-1835400000H111------------,141,0,05 Nov 2021,142,138,139,-2,5406300,754075400,503
ARCI,--M-1105000000B143------------,595,0,05 Nov 2021,610,585,600,5,5033800,2998152500,987
ARGO,--U-2100000000E413-E----------,1740,0,05 Nov 2021,1710,1695,1705,-35,900,1528000,5
ARII,--U-2130000000A121------------,294,0,05 Nov 2021,300,292,294,0,56200,16573400,47
ARKA,--U-2100000000C143------------,67,0,05 Nov 2021,68,64,64,-3,41026000,2675978100,2224
ARMY,--U-2130000000H111---L--------,50,0,05 Nov 2021,0,0,50,0,0,0,0
ARNA,--M-1135000000C121------------,850,0,05 Nov 2021,880,840,860,10,3253500,2832067000,923
ARTA,--U-2100000000E512------------,1865,0,05 Nov 2021,1865,1800,1820,-45,53600,97821000,43
ARTI,--U-1100000000A132-E-L--------,50,0,05 Nov 2021,50,50,50,0,11900,595000,11
ARTO,--U-2100000000G111------------,15200,0,05 Nov 2021,15475,15150,15175,-25,16423000,251216382500,11488
ASBI,--U-2100000000G412------------,298,0,05 Nov 2021,298,290,294,-4,43100,12609800,27
ASDM,--U-1100000000G412------------,955,0,05 Nov 2021,985,955,980,25,2400,2350500,5
ASGR,--M-1130000000C224------------,740,0,05 Nov 2021,755,740,755,15,935800,702410500,309
ASII,XDMO1UBAC70000C311------------,5975,5900,05 Nov 2021,5975,5850,5925,-50,80775400,478008085000,8709
ASJT,--U-2100000000G412------------,147,0,05 Nov 2021,148,144,147,0,364600,53119100,82
ASMI,--U-1105000000G412------------,334,0,05 Nov 2021,332,328,330,-4,164900,54401600,93
ASPI,--U-2100000000H111------------,79,0,05 Nov 2021,82,75,80,1,13666600,1097775300,995
ASRI,--M-1835M20000H111------------,187,0,05 Nov 2021,188,183,186,-1,16436300,3038523400,1381
ASRM,--U-2100000000G412------------,1620,0,05 Nov 2021,1645,1645,1645,25,600,987000,5
ASSA,--M-18055B0000K132------------,3300,0,05 Nov 2021,3390,3290,3320,20,8480300,28233963000,3346
ATAP,--U-2130000000H111------------,183,0,05 Nov 2021,226,172,198,15,39829900,8267956500,8688
ATIC,--U-1105000000I121------------,615,0,05 Nov 2021,640,610,620,5,290600,181472500,169
AUTO,--M-11A5000000E111------------,1125,0,05 Nov 2021,1130,1115,1120,-5,1115800,1249297500,394
AYLS,--U-2130000000B121-----------X,143,0,05 Nov 2021,153,142,144,1,33669900,4974689600,3009
BABP,--U-2105000000G111------------,220,0,05 Nov 2021,222,212,216,-4,120795700,26088262400,6601
BACA,--U-2105000000G111------------,310,0,05 Nov 2021,326,308,310,0,205489400,65132755200,9860
BAJA,--U-2100000000B144------------,346,0,05 Nov 2021,356,342,348,2,3347900,1165769600,820
BALI,--M-1135000000J321------------,835,0,05 Nov 2021,925,825,890,55,5206700,4593518500,1086
BANK,--U-2135000000G111------------,2440,0,05 Nov 2021,2450,2420,2430,-10,15373700,37439508000,2189
BAPA,--U-1130000000H111------------,68,0,05 Nov 2021,72,64,66,-2,195499300,13203758100,6709
BAPI,--U-2130000000H111------------,50,0,05 Nov 2021,50,50,50,0,34200,1710000,13
BATA,--U-1130000000E412------------,496,0,05 Nov 2021,515,496,505,9,50300,25386000,39
BAYU,--U-2130000000E513------------,1155,0,05 Nov 2021,1155,1130,1155,0,3300,3734000,4
BBCA,--MO1UQNCN0000G111------------,7375,7475,05 Nov 2021,7475,7375,7450,75,43120400,320100250000,11883
BBHI,--U-2105000000G111------------,7000,0,05 Nov 2021,7175,6800,6900,-100,4934700,34393315000,3623
BBKP,--U-1105000000G111------------,428,0,05 Nov 2021,440,426,430,2,103172600,44746072400,5067
BBLD,--U-2100000000G211------------,400,0,05 Nov 2021,400,400,400,0,40400,16160000,6
BBMD,--U-1105000000G111------------,2150,0,05 Nov 2021,2140,2010,2130,-20,6600,13648000,15
BBNI,--MO1UQSP40000G111------------,7000,7000,05 Nov 2021,7025,6875,6950,-50,16408500,113762372500,4864
BBRI,--MO1UQSPN0000G111------------,4250,4270,05 Nov 2021,4270,4210,4240,-10,74347000,315057465000,15273
BBRM,--U-1100000000A122------------,50,0,05 Nov 2021,50,50,50,0,17400,870000,9
BBSI,--U-2105000000G111------------,5950,0,05 Nov 2021,6000,5900,5925,-25,13100,78420000,14
BBSS,--U-2100000000H111------------,68,0,05 Nov 2021,70,67,69,1,16273400,1115612500,808
BBTN,--MO1HQRL80000G111------------,1765,1765,05 Nov 2021,1775,1700,1760,-5,34354100,59695196000,4279
BBYB,--U-1105000000G111------------,1480,0,05 Nov 2021,1520,1440,1455,-25,58077000,85126706000,10414
BCAP,--M-1105000000G511------------,103,0,05 Nov 2021,105,102,103,0,9034900,938270500,631
BCIC,--U-2105000000G111------------,197,0,05 Nov 2021,264,204,256,59,419882100,104961341400,29530
BCIP,--U-2130000000H111-------Y----,68,0,05 Nov 2021,69,65,67,-1,19737300,1311161800,703
BDMN,--M-1855100000G111------------,2620,0,05 Nov 2021,2660,2560,2580,-40,4574000,11839257000,1605
BEBS,--U-2135000000B121------------,2460,0,05 Nov 2021,2470,2290,2290,-170,26388600,62280510000,2025
