Stock Code,Remarks,Prev,Open,Date,High,Low,Close,Change,Volume,Value,Freq,year,month
AALI,--M-1M3PM00000D232------------,10000,0,29 Nov 2021,10075,9800,9975,-25,2002400,19919187500,1553,2021,11
ABBA,--U-2105000000E614-E-L--------,420,0,29 Nov 2021,422,410,410,-10,4651800,1913924000,576,2021,11
ABDA,--U-2105000000G412------------,6700,0,29 Nov 2021,6600,6575,6575,-125,200,1317500,2,2021,11
ABMM,--U-1105000000C311------------,1430,0,29 Nov 2021,1455,1385,1420,-10,3817500,5409944500,697,2021,11
ACES,--MO1S3EMN0000E743------------,1385,1365,29 Nov 2021,1395,1365,1365,-20,17854000,24516109000,2435,2021,11
ACST,--U-1135000000J211------------,242,0,29 Nov 2021,246,238,242,0,9611500,2324563400,856,2021,11
ADES,--U-2135000000D212------------,3000,0,29 Nov 2021,3060,2900,3030,30,217800,650343000,202,2021,11
ADHI,--M-1835V50000J211------------,1095,0,29 Nov 2021,1105,1035,1075,-20,39807100,42731182000,6376,2021,11
ADMF,--U-110F000000G211------------,7700,0,29 Nov 2021,7750,7650,7725,25,104500,804735000,223,2021,11
ADMG,--U-1130000000B111------------,212,0,29 Nov 2021,214,208,214,2,1012800,213498200,219,2021,11
ADRO,--MO1XD5U60000A121------------,1655,1640,29 Nov 2021,1700,1610,1690,35,76424500,127203358500,7571,2021,11
AGAR,--U-2130000000D231------------,344,0,29 Nov 2021,344,344,344,0,4200,1444800,5,2021,11
AGII,--M-1835400000B111------------,1440,0,29 Nov 2021,1490,1395,1470,30,4824500,7035930000,1378,2021,11
AGRO,--U-1100000000G111------------,2020,0,29 Nov 2021,2200,1980,2150,130,64459700,136721160000,11520,2021,11
AGRS,--U-2105000000G111------------,176,0,29 Nov 2021,185,170,177,1,9982200,1781183700,912,2021,11
AHAP,--U-2100000000G412------------,68,0,29 Nov 2021,69,66,66,-2,4961800,331654200,445,2021,11
AIMS,--U-2130000000A121------------,488,0,29 Nov 2021,510,488,488,0,1233300,614084300,310,2021,11
AISA,--U-1105000000D222------------,216,0,29 Nov 2021,216,212,214,-2,7094100,1514681200,607,2021,11
AKKU,--U-2130000000E512------------,50,0,29 Nov 2021,51,50,50,0,256000,12800300,20,2021,11
AKPI,--U-2130000000B113------------,705,0,29 Nov 2021,705,680,690,-15,2400,1667500,8,2021,11
AKRA,--MO1H7XM80000A112------------,4130,4100,29 Nov 2021,4100,3970,3990,-140,18142700,72693573000,5582,2021,11
AKSI,--U-2130000000K211------------,430,0,29 Nov 2021,430,416,416,-14,14700,6164400,27,2021,11
ALDO,--U-2130000000B131------------,910,0,29 Nov 2021,925,885,905,-5,2873300,2595521500,1299,2021,11
ALKA,--U-2130000000B141------------,242,0,29 Nov 2021,262,234,246,4,10500,2519800,31,2021,11
ALMI,--U-2100000000B141-E----------,244,0,29 Nov 2021,268,234,254,10,25800,6483400,40,2021,11
ALTO,--U-1100000000D212------------,280,0,29 Nov 2021,280,270,280,0,14700,4068600,19,2021,11
AMAG,--M-2105000000G412------------,342,0,29 Nov 2021,344,338,340,-2,184200,62466600,51,2021,11
AMAN,--M-1135000000H111------------,525,0,29 Nov 2021,535,525,530,5,2346500,1235338000,175,2021,11
AMAR,--U-2105000000G111------------,302,0,29 Nov 2021,300,292,292,-10,2244000,660580400,342,2021,11
AMFG,--U-1105000000C121------------,4700,0,29 Nov 2021,4700,4540,4650,-50,105600,492393000,59,2021,11
AMIN,--U-2130000000C143------------,224,0,29 Nov 2021,218,210,210,-14,360400,76078200,116,2021,11
AMOR,XDM-2105000000G311------------,4000,0,29 Nov 2021,4030,3950,4010,10,732300,2930410000,1187,2021,11
AMRT,--M-1M00500000D113------------,1165,0,29 Nov 2021,1210,1150,1205,40,14832500,17564638000,3113,2021,11
ANDI,--U-2130000000D232------------,50,0,29 Nov 2021,50,50,50,0,2597500,129875000,89,2021,11
ANJT,--U-1135000000D232------------,955,0,29 Nov 2021,970,905,950,-5,66200,62833000,62,2021,11
ANTM,--MO1XDARC0000B146------------,2340,2330,29 Nov 2021,2360,2320,2330,-10,82567700,192922857000,11952,2021,11
APEX,--U-2105000000A131------------,535,0,29 Nov 2021,540,530,530,-5,26400,14119000,26,2021,11
APIC,--M-2105000000G511------------,1040,0,29 Nov 2021,1050,1025,1050,10,15562200,16210859000,1304,2021,11
APII,--U-2130000000C143------------,208,0,29 Nov 2021,212,194,194,-14,914800,181051700,338,2021,11
APLI,--U-1130000000B113------------,198,0,29 Nov 2021,202,202,202,4,300,60600,2,2021,11
APLN,--M-1835400000H111------------,130,0,29 Nov 2021,130,122,129,-1,16593200,2092938300,1040,2021,11
ARCI,--M-1105000000B143------------,560,0,29 Nov 2021,570,545,550,-10,26503100,14669961500,2002,2021,11
ARGO,--U-2100000000E413-E----------,1620,0,29 Nov 2021,1620,1515,1555,-65,1500,2398500,6,2021,11
ARII,--U-2130000000A121------------,284,0,29 Nov 2021,284,268,268,-16,63800,17436000,53,2021,11
ARKA,--U-2100000000C143------------,62,0,29 Nov 2021,63,58,59,-3,29300300,1762050800,1514,2021,11
ARMY,--U-2130000000H111------------,50,0,29 Nov 2021,0,0,50,0,0,0,0,2021,11
ARNA,--M-1135000000C121------------,855,0,29 Nov 2021,855,800,840,-15,1062200,885900500,457,2021,11
ARTA,--U-2100000000E512------------,2030,0,29 Nov 2021,2060,1960,2020,-10,25100,50101500,20,2021,11
ARTI,--U-1100000000A132-E-L--------,50,0,29 Nov 2021,50,50,50,0,400,20000,3,2021,11
ARTO,--U-2100000000G111------------,14750,0,29 Nov 2021,15450,14500,15375,625,30523700,461616435000,15112,2021,11
ASBI,--U-2100000000G412------------,302,0,29 Nov 2021,306,290,298,-4,53600,15778200,21,2021,11
ASDM,--U-1100000000G412------------,950,0,29 Nov 2021,975,965,965,15,300,290500,3,2021,11
