Stock Code,Remarks,Prev,Open,Date,High,Low,Close,Change,Volume,Value,Freq,year,month
AALI,--M-1M3PM00000D232------------,10325,0,18 Nov 2021,10550,10300,10450,125,980600,10244617500,1062,2021,11
ABBA,--U-2105000000E614-E-L--------,422,0,18 Nov 2021,438,422,422,0,7023400,3012097400,1210,2021,11
ABDA,--U-2105000000G412------------,6700,0,18 Nov 2021,0,0,6700,0,0,0,0,2021,11
ABMM,--U-1105000000C311------------,1410,0,18 Nov 2021,1450,1390,1410,0,4481200,6368904500,750,2021,11
ACES,--MO1S3EMN0000E743------------,1330,1330,18 Nov 2021,1370,1330,1355,25,25066500,33827720500,3158,2021,11
ACST,--U-1135000000J211------------,256,0,18 Nov 2021,260,256,258,2,4491800,1160003200,627,2021,11
ADES,--U-2135000000D212------------,2780,0,18 Nov 2021,2880,2780,2870,90,280700,794003000,338,2021,11
ADHI,--M-1835V50000J211------------,1110,0,18 Nov 2021,1120,1105,1115,5,16596000,18491113500,2747,2021,11
ADMF,--U-110F000000G211------------,7825,0,18 Nov 2021,7850,7800,7825,0,61700,482905000,99,2021,11
ADMG,--U-1130000000B111------------,218,0,18 Nov 2021,222,216,220,2,811700,177938200,142,2021,11
ADRO,--MO1XD5U60000A121------------,1640,1620,18 Nov 2021,1645,1610,1625,-15,48501400,78855665500,4940,2021,11
AGAR,--U-2130000000D231------------,342,0,18 Nov 2021,348,342,348,6,1400,483600,11,2021,11
AGII,--M-1835400000B111------------,1400,0,18 Nov 2021,1495,1400,1495,95,7578500,11164158500,2923,2021,11
AGRO,--U-1100000000G111------------,2240,0,18 Nov 2021,2350,2210,2260,20,76701800,175318431000,12499,2021,11
AGRS,--U-2105000000G111------------,190,0,18 Nov 2021,191,188,189,-1,9723300,1835079600,887,2021,11
AHAP,--U-2100000000G412------------,70,0,18 Nov 2021,78,70,72,2,61159400,4544379800,3831,2021,11
AIMS,--U-2130000000A121------------,510,0,18 Nov 2021,515,505,510,0,1631000,831583500,144,2021,11
